HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
15-11-18 09.00;15-11-18 10.00;DK1;2886.72;334.49;230.72;-1276.00;-163.00;1942.00
15-11-18 10.00;15-11-18 11.00;DK1;2793.04;284.19;197.77;-1257.00;-178.00;1942.00
15-11-18 11.00;15-11-18 12.00;DK1;2647.85;258.99;206.28;-1240.00;-263.00;1943.00
15-11-18 12.00;15-11-18 13.00;DK1;2672.20;264.09;250.97;-1164.00;-316.00;1942.00
15-11-18 13.00;15-11-18 14.00;DK1;2695.30;279.09;316.99;-1158.00;-352.00;1942.00
15-11-18 14.00;15-11-18 15.00;DK1;2666.59;335.39;314.08;-1293.00;-337.00;1942.00
15-11-18 15.00;15-11-18 16.00;DK1;2804.74;517.43;242.21;-1290.00;-385.00;1942.00
15-11-18 16.00;15-11-18 17.00;DK1;3038.43;610.08;230.26;-1252.00;-317.00;1944.00
15-11-18 17.00;15-11-18 18.00;DK1;2893.76;732.07;329.55;-1307.00;-424.00;1944.00
15-11-18 18.00;15-11-18 19.00;DK1;2694.94;887.04;456.59;-1100.00;-581.00;1938.00
15-11-18 19.00;15-11-18 20.00;DK1;2561.99;990.59;480.72;-931.00;-588.00;1662.00
15-11-18 20.00;15-11-18 21.00;DK1;2384.54;1012.60;454.68;-895.00;-522.00;1581.00
15-11-18 21.00;15-11-18 22.00;DK1;2184.43;984.20;427.58;-976.00;-221.00;1123.00
15-11-18 22.00;15-11-18 23.00;DK1;2029.13;938.31;465.13;-893.00;-18.00;1037.00
15-11-18 23.00;16-11-18 00.00;DK1;1894.74;909.90;476.15;-836.00;-32.00;862.00
16-11-18 00.00;16-11-18 01.00;DK1;1883.00;948.30;442.77;-868.00;-150.00;1084.00
16-11-18 01.00;16-11-18 02.00;DK1;1853.37;1000.77;416.92;-836.00;-234.00;1107.00
16-11-18 02.00;16-11-18 03.00;DK1;1856.62;968.92;432.48;-848.00;-228.00;1138.00
16-11-18 03.00;16-11-18 04.00;DK1;1891.12;860.02;411.53;-856.00;-222.00;1205.00
16-11-18 04.00;16-11-18 05.00;DK1;2056.87;841.49;395.03;-840.00;-456.00;1397.00
16-11-18 05.00;16-11-18 06.00;DK1;2469.05;994.29;410.18;-870.00;-586.00;1716.00
16-11-18 06.00;16-11-18 07.00;DK1;2870.18;903.13;398.60;-765.00;-581.00;1722.00
16-11-18 07.00;16-11-18 08.00;DK1;2965.89;831.50;446.26;-803.00;-570.00;1894.00
16-11-18 08.00;16-11-18 09.00;DK1;2882.86;603.01;477.88;-708.00;-586.00;1895.00
16-11-18 09.00;16-11-18 10.00;DK1;2889.03;480.96;428.51;-853.00;-523.00;1942.00
